time,h_asl,pitch,vc,roll
1.2333,11.9703,0.22502,0.0041928,-8.4268e-10
1.2417,11.9702,0.22505,0.00412,-8.3031e-10
1.25,11.9702,0.22507,0.0040483,-8.2296e-10
1.2582,11.9702,0.22507,0.0040483,-8.2296e-10
1.2582,11.9702,0.22507,0.0040483,-8.2296e-10
1.2583,11.9701,0.2251,0.0039779,-8.1695e-10
1.2588,11.9701,0.2251,0.0039779,-8.1695e-10
1.2613,11.9701,0.2251,0.0039779,-8.1695e-10
1.2665,11.9701,0.2251,0.0039779,-8.1695e-10
1.2665,11.9701,0.2251,0.0039779,-8.1695e-10
1.2667,11.9701,0.22513,0.0039087,-8.1394e-10
1.2677,11.9701,0.22513,0.0039087,-8.1394e-10
1.2727,11.9701,0.22513,0.0039087,-8.1394e-10
1.2747,11.9701,0.22513,0.0039087,-8.1394e-10
1.2747,11.9701,0.22513,0.0039087,-8.1394e-10
1.275,11.97,0.22515,0.0038407,-8.1236e-10
1.2765,11.97,0.22515,0.0038407,-8.1236e-10
1.2829,11.97,0.22515,0.0038407,-8.1236e-10
1.2829,11.97,0.22515,0.0038407,-8.1236e-10
1.2833,11.97,0.22518,0.0037739,-7.9309e-10
1.2854,11.97,0.22518,0.0037739,-7.9309e-10
1.2912,11.97,0.22518,0.0037739,-7.9309e-10
1.2912,11.97,0.22518,0.0037739,-7.9309e-10
1.2917,11.9699,0.22521,0.0037083,-7.7289e-10
1.2942,11.9699,0.22521,0.0037083,-7.7289e-10
1.2994,11.9699,0.22521,0.0037083,-7.7289e-10
1.2994,11.9699,0.22521,0.0037083,-7.7289e-10
1.3,11.9698,0.22523,0.0036437,-7.6358e-10
1.3031,11.9698,0.22523,0.0036437,-7.6358e-10
1.3076,11.9698,0.22523,0.0036437,-7.6358e-10
1.3076,11.9698,0.22523,0.0036437,-7.6358e-10
1.3083,11.9698,0.22526,0.0035804,-7.54e-10
1.3119,11.9698,0.22526,0.0035804,-7.54e-10
1.3159,11.9698,0.22526,0.0035804,-7.54e-10
1.3159,11.9698,0.22526,0.0035804,-7.54e-10
1.3167,11.9697,0.22528,0.0035181,-7.4927e-10
1.3207,11.9697,0.22528,0.0035181,-7.4927e-10
1.3241,11.9697,0.22528,0.0035181,-7.4927e-10
1.3241,11.9697,0.22528,0.0035181,-7.4927e-10
1.325,11.9697,0.2253,0.0034568,-7.4532e-10
1.3295,11.9697,0.2253,0.0034568,-7.4532e-10
1.3323,11.9697,0.2253,0.0034568,-7.4532e-10
1.3323,11.9697,0.2253,0.0034568,-7.4532e-10
1.3333,11.9697,0.22533,0.0033968,-7.0476e-10
1.3383,11.9697,0.22533,0.0033968,-7.0476e-10
1.3405,11.9697,0.22533,0.0033968,-7.0476e-10
1.3405,11.9697,0.22533,0.0033968,-7.0476e-10
1.3417,11.9696,0.22535,0.0033377,-6.6089e-10
1.3472,11.9696,0.22535,0.0033377,-6.6089e-10
1.3488,11.9696,0.22535,0.0033377,-6.6089e-10
1.3488,11.9696,0.22535,0.0033377,-6.6089e-10
1.35,11.9696,0.22537,0.0032796,-6.1814e-10
1.356,11.9696,0.22537,0.0032796,-6.1814e-10
1.357,11.9696,0.22537,0.0032796,-6.1814e-10
1.357,11.9696,0.22537,0.0032796,-6.1814e-10
1.3583,11.9695,0.22539,0.0032226,-5.7169e-10
1.3648,11.9695,0.22539,0.0032226,-5.7169e-10
1.3653,11.9695,0.22539,0.0032226,-5.7169e-10
1.3653,11.9695,0.22539,0.0032226,-5.7169e-10
1.3667,11.9695,0.22541,0.0031665,-5.4375e-10
1.3735,11.9695,0.22541,0.0031665,-5.4375e-10
1.3735,11.9695,0.22541,0.0031665,-5.4375e-10
1.375,11.9694,0.22544,0.0031114,-5.1539e-10
1.3817,11.9694,0.22544,0.0031114,-5.1539e-10
1.3817,11.9694,0.22544,0.0031114,-5.1539e-10
1.3833,11.9694,0.22546,0.0030573,-4.9572e-10
1.39,11.9694,0.22546,0.0030573,-4.9572e-10
1.39,11.9694,0.22546,0.0030573,-4.9572e-10
1.3917,11.9693,0.22548,0.0030041,-4.7762e-10
1.3982,11.9693,0.22548,0.0030041,-4.7762e-10
1.3982,11.9693,0.22548,0.0030041,-4.7762e-10
1.4,11.9693,0.2255,0.0029519,-4.6444e-10
1.4064,11.9693,0.2255,0.0029519,-4.6444e-10
1.4064,11.9693,0.2255,0.0029519,-4.6444e-10
1.4083,11.9693,0.22552,0.0029006,-4.5328e-10
1.4146,11.9693,0.22552,0.0029006,-4.5328e-10
1.4146,11.9693,0.22552,0.0029006,-4.5328e-10
1.4167,11.9692,0.22553,0.0028501,-4.4525e-10
1.4229,11.9692,0.22553,0.0028501,-4.4525e-10
1.4229,11.9692,0.22553,0.0028501,-4.4525e-10
1.425,11.9692,0.22555,0.0028005,-4.3906e-10
1.4311,11.9692,0.22555,0.0028005,-4.3906e-10
1.4311,11.9692,0.22555,0.0028005,-4.3906e-10
1.4333,11.9691,0.22557,0.0027518,-4.3502e-10
1.4393,11.9691,0.22557,0.0027518,-4.3502e-10
1.4393,11.9691,0.22557,0.0027518,-4.3502e-10
1.4417,11.9691,0.22559,0.002704,-4.3247e-10
1.4475,11.9691,0.22559,0.002704,-4.3247e-10
1.4475,11.9691,0.22559,0.002704,-4.3247e-10
1.45,11.9691,0.22561,0.0026569,-4.3144e-10
1.4558,11.9691,0.22561,0.0026569,-4.3144e-10
1.4558,11.9691,0.22561,0.0026569,-4.3144e-10
1.4583,11.969,0.22562,0.0026107,-4.3158e-10
1.464,11.969,0.22562,0.0026107,-4.3158e-10
1.464,11.969,0.22562,0.0026107,-4.3158e-10
1.4667,11.969,0.22564,0.0025652,-4.3283e-10
1.4722,11.969,0.22564,0.0025652,-4.3283e-10
1.4722,11.969,0.22564,0.0025652,-4.3283e-10
1.475,11.969,0.22566,0.0025206,-4.3495e-10
1.4804,11.969,0.22566,0.0025206,-4.3495e-10
1.4804,11.969,0.22566,0.0025206,-4.3495e-10
1.4833,11.9689,0.22567,0.0024768,-4.3787e-10
1.4887,11.9689,0.22567,0.0024768,-4.3787e-10
1.4887,11.9689,0.22567,0.0024768,-4.3787e-10
1.4917,11.9689,0.22569,0.0024336,-4.4144e-10
1.4969,11.9689,0.22569,0.0024336,-4.4144e-10
1.4969,11.9689,0.22569,0.0024336,-4.4144e-10
1.5,11.9689,0.22571,0.0023914,-4.4561e-10
1.5051,11.9689,0.22571,0.0023914,-4.4561e-10
1.5051,11.9689,0.22571,0.0023914,-4.4561e-10
1.5083,11.9688,0.22572,0.0023498,-4.5025e-10
1.5133,11.9688,0.22572,0.0023498,-4.5025e-10
1.5133,11.9688,0.22572,0.0023498,-4.5025e-10
1.5167,11.9688,0.22574,0.0023088,-4.5531e-10
1.5215,11.9688,0.22574,0.0023088,-4.5531e-10
1.5215,11.9688,0.22574,0.0023088,-4.5531e-10
1.525,11.9688,0.22575,0.0022687,-4.6071e-10
1.5297,11.9688,0.22575,0.0022687,-4.6071e-10
1.5297,11.9688,0.22575,0.0022687,-4.6071e-10
1.5333,11.9687,0.22577,0.0022291,-4.6641e-10
1.538,11.9687,0.22577,0.0022291,-4.6641e-10
1.538,11.9687,0.22577,0.0022291,-4.6641e-10
1.5417,11.9687,0.22578,0.0021904,-4.7236e-10
1.5462,11.9687,0.22578,0.0021904,-4.7236e-10
1.5462,11.9687,0.22578,0.0021904,-4.7236e-10
1.55,11.9687,0.2258,0.0021523,-4.7851e-10
1.5544,11.9687,0.2258,0.0021523,-4.7851e-10
1.5544,11.9687,0.2258,0.0021523,-4.7851e-10
1.5583,11.9686,0.22581,0.0021148,-4.6518e-10
1.5626,11.9686,0.22581,0.0021148,-4.6518e-10
1.5626,11.9686,0.22581,0.0021148,-4.6518e-10
1.5667,11.9686,0.22582,0.002078,-4.4983e-10
1.5708,11.9686,0.22582,0.002078,-4.4983e-10
1.5708,11.9686,0.22582,0.002078,-4.4983e-10
1.575,11.9686,0.22584,0.0020419,-4.4414e-10
1.579,11.9686,0.22584,0.0020419,-4.4414e-10
1.579,11.9686,0.22584,0.0020419,-4.4414e-10
1.5833,11.9685,0.22585,0.0020064,-4.373e-10
1.5872,11.9685,0.22585,0.0020064,-4.373e-10
1.5872,11.9685,0.22585,0.0020064,-4.373e-10
1.5917,11.9685,0.22586,0.0019715,-4.3443e-10
1.5955,11.9685,0.22586,0.0019715,-4.3443e-10
1.5955,11.9685,0.22586,0.0019715,-4.3443e-10
1.6,11.9685,0.22587,0.0019372,-4.3165e-10
1.6037,11.9685,0.22587,0.0019372,-4.3165e-10
1.6037,11.9685,0.22587,0.0019372,-4.3165e-10
1.6083,11.9685,0.22589,0.0019035,-4.309e-10
1.6119,11.9685,0.22589,0.0019035,-4.309e-10
1.6119,11.9685,0.22589,0.0019035,-4.309e-10
1.6167,11.9684,0.2259,0.0018703,-4.3066e-10
1.6201,11.9684,0.2259,0.0018703,-4.3066e-10
1.6201,11.9684,0.2259,0.0018703,-4.3066e-10
1.625,11.9684,0.22591,0.0018378,-4.316e-10
1.6283,11.9684,0.22591,0.0018378,-4.316e-10
1.6283,11.9684,0.22591,0.0018378,-4.316e-10
1.6333,11.9684,0.22592,0.0018058,-4.3311e-10
1.6365,11.9684,0.22592,0.0018058,-4.3311e-10
1.6365,11.9684,0.22592,0.0018058,-4.3311e-10
1.6417,11.9684,0.22593,0.0017744,-4.3538e-10
1.6447,11.9684,0.22593,0.0017744,-4.3538e-10
1.6447,11.9684,0.22593,0.0017744,-4.3538e-10
1.65,11.9683,0.22594,0.0017434,-4.3813e-10
1.6529,11.9683,0.22594,0.0017434,-4.3813e-10
1.6529,11.9683,0.22594,0.0017434,-4.3813e-10
1.6583,11.9683,0.22596,0.0017131,-4.4139e-10
1.6611,11.9683,0.22596,0.0017131,-4.4139e-10
1.6611,11.9683,0.22596,0.0017131,-4.4139e-10
1.6667,11.9683,0.22597,0.0016833,-4.4504e-10
1.6693,11.9683,0.22597,0.0016833,-4.4504e-10
1.6693,11.9683,0.22597,0.0016833,-4.4504e-10
1.675,11.9683,0.22598,0.0016542,-4.4906e-10
1.6775,11.9683,0.22598,0.0016542,-4.4906e-10
1.6775,11.9683,0.22598,0.0016542,-4.4906e-10
1.6833,11.9682,0.22599,0.0016253,-4.5335e-10
1.6857,11.9682,0.22599,0.0016253,-4.5335e-10
1.6857,11.9682,0.22599,0.0016253,-4.5335e-10
1.6917,11.9682,0.226,0.001597,-4.579e-10
1.6939,11.9682,0.226,0.001597,-4.579e-10
1.6939,11.9682,0.226,0.001597,-4.579e-10
1.7,11.9682,0.22601,0.0015692,-4.6266e-10
1.7021,11.9682,0.22601,0.0015692,-4.6266e-10
1.7021,11.9682,0.22601,0.0015692,-4.6266e-10
1.7083,11.9682,0.22602,0.0015419,-4.6759e-10
1.7103,11.9682,0.22602,0.0015419,-4.6759e-10
1.7103,11.9682,0.22602,0.0015419,-4.6759e-10
1.7167,11.9682,0.22603,0.001515,-4.7267e-10
1.7185,11.9682,0.22603,0.001515,-4.7267e-10
1.7185,11.9682,0.22603,0.001515,-4.7267e-10
1.725,11.9681,0.22604,0.0014887,-4.7786e-10
1.7267,11.9681,0.22604,0.0014887,-4.7786e-10
1.7267,11.9681,0.22604,0.0014887,-4.7786e-10
1.7333,11.9681,0.22605,0.0014628,-4.8315e-10
1.7349,11.9681,0.22605,0.0014628,-4.8315e-10
1.7349,11.9681,0.22605,0.0014628,-4.8315e-10
1.7417,11.9681,0.22605,0.0014374,-4.8853e-10
1.7431,11.9681,0.22605,0.0014374,-4.8853e-10
1.7431,11.9681,0.22605,0.0014374,-4.8853e-10
1.75,11.9681,0.22606,0.0014123,-4.9396e-10
1.7513,11.9681,0.22606,0.0014123,-4.9396e-10
1.7513,11.9681,0.22606,0.0014123,-4.9396e-10
1.7583,11.968,0.22607,0.0013877,-4.9943e-10
1.7595,11.968,0.22607,0.0013877,-4.9943e-10
1.7595,11.968,0.22607,0.0013877,-4.9943e-10
1.7667,11.968,0.22608,0.0013635,-5.0494e-10
1.7677,11.968,0.22608,0.0013635,-5.0494e-10
1.7677,11.968,0.22608,0.0013635,-5.0494e-10
1.775,11.968,0.22609,0.0013398,-5.1047e-10
1.7759,11.968,0.22609,0.0013398,-5.1047e-10
1.7759,11.968,0.22609,0.0013398,-5.1047e-10
1.7833,11.968,0.2261,0.0013167,-4.9638e-10
